dist_from_origin,dist_inbetween,stn_name, stn_code
0,0,Dhaka,DA
6.44,6.44,Tejgao,TJN
10.86,4.42,Bonani,BNNI
13.27,2.41,Dhaka Cantonment,DACT
18.28,5.01,Dhaka Biman Bondor,DABB
24.93,6.65,Tongi jn,TGI
31.37,6.44,Dhirasrom,DRM
36.2,4.83,Joydebpur,JYR
40.62,4.42,Bhawal Gazipur,BGPX
47.46,6.84,Rajendropur,RAP
51.48,4.02,Ijjotpur,IZP
59.12,7.64,Shripur,SPU
63.14,4.02,Shatkamair,SSK
71.59,8.45,Kaorait,KWY
80.44,8.85,Moshakahali,MHY
88.49,8.05,Goforgao,GFN
97.74,9.25,Dhola,DHV
101.36,3.62,Aulia Nogor,ALNR
107.8,6.44,Ahmodbari,AHDB
111.02,3.22,Fatemanogor,FMN
118.66,7.64,Shutiakhali,SUY
122.68,4.02,Agriculture UV,KHIP
125.9,3.22,Mymensing Jn,MYN
130.73,4.83,Mymensingh Road,MYNR
137.97,7.24,Bgunbari,BBX
143.2,5.23,Biddagong,BYJ
146.82,3.62,Nimotoli Bazar,NTBR
147.62,0.8,Moshiur Nogor,MUNR
152.45,4.83,Piarpur,PYP
160.5,8.05,Norundi,NNI
169.35,8.85,Nandina,NND
179.01,9.66,Jamalpur town jn,JLX
183.84,4.83,Jamalpur court,JLC
191.89,8.05,Melandoho Bazar,MLDB
198.73,6.84,Durmut,DRT
204.36,5.63,Islampur Bazar,IPB
208.38,4.02,Mosharofgonj,MUHG
214.01,5.63,Dowangonj,DWB
224.61,10.6,Bahadurabad Ghat,BHBD
