dist_from_origin,dist_inbetween,stn_name, stn_code
0,0,Dhaka,DA
6.44,6.44,Tejgao,TJN
10.86,4.42,Bonani,BNNI
13.27,2.41,Dhaka Cantonment,DACT
18.28,5.01,Dhaka Biman Bondor,DABB
24.93,6.65,Tongi ,TGI
33.99,9.06,Pubail,PBY
37.61,3.62,Nolchata,NCHT
41.63,4.02,Arikhola,AKH
48.88,7.25,Ghorashal Flag,GHF
50.09,1.21,Ghorashal,GHP
54.52,4.43,Jinardi,JYD
58.88,4.36,Norshingdi,NRC
64.11,5.23,Amirgonj,AMRG
67.33,3.22,Khanabari,KQC
71.76,4.43,Hatubhanga,HTGA
75.38,3.62,Methikanda,MEY
79.4,4.02,Shrinidhi,SRNI
84.64,5.24,Doulotkandi,DLY
88.66,4.02,Bhoirob bazar jn,BCI
91.86,3.2,Ashugonj,ASZ
96.31,4.45,Talshohor,TSHR
105.57,9.26,Bramonbaria,BHRA
112.41,6.84,Pagachong,PGH
116.43,4.02,Bhatshala,BHAT
121.67,5.24,Akhaura jn,AKA
126.09,4.42,Gonga shagor,GGX
132.13,6.04,Imambari,IBRI
136.96,4.83,Cosba,QSBA
143.4,6.44,Mondobag,MNBG
145.41,2.01,Shaldanodi,SDNI
149.04,3.63,Shoshidol,SHDL
155.48,6.44,Rajapur,RPU
162.72,7.24,Shodor Roshulpur,SDRP
169.16,6.44,Comilla,CML
172.78,3.62,Moynamoti,MAMT
181.24,8.46,Lalmai,LMI
186.83,5.59,Alishohor,ASWR
192.91,6.08,Laksham jn,LKM
200.56,7.65,Naoti,NOT
206.19,5.63,Nangolcourt,NKT
211.42,5.23,Hasanpur,HAX
219.47,8.05,Gunoboti,GBI
224.71,5.24,Shoroshodi,SRS
233.16,8.45,Feni,FNI
237.99,4.83,Kalidoho,KLDH
243.62,5.63,Fajilpur,FJP
247.25,3.63,Muhurigonj,MFG
253.69,6.44,Chinki astana,CNKA
258.92,5.23,Mostan nogor,MSTN
264.55,5.63,Mirshorai,MIS
269.79,5.24,Bartakia,BTKA
275.02,5.23,Nizampur college,NZPC
279.04,4.02,Baroia dhala,BYA
285.48,6.44,Shitakundo,STK
290.72,5.24,Barbokundo,BKND
299.57,8.85,Cumira,UMA
308.83,9.26,Vhatiari,BYI
311.24,2.41,Foujdar Hat,FJT
316.49,5.25,Koibollodham,KBDM
318.5,2.01,Pahartoli,PHT
320.91,2.41,Chittagong JN Cabin,CGJ
322.51,1.6,Chittagong,CTG
