dist_from_origin,dist_inbetween,stn_name, stn_code
0,0,Dhaka,DA
6.44,6.44,Tejgao,TJN
10.86,4.42,Bonani,BNNI
13.27,2.41,Dhaka Cantonment,DACT
18.28,5.01,Dhaka Biman Bondor,DABB
24.93,6.65,Tongi ,TGI
31.37,6.44,Dhirasrom,DRM
36.2,4.83,Joydebpur,JYR
52.2,16,Mowchak,MOCK
73,20.8,Mirzapur,MZRP
83.16,10.16,Mohera,MHRA
98.9,15.74,Tangail,TAGL
119.8,20.9,Jamuna Bridge East,BBE
128.99,9.19,Jamuna Bridge West,BBW
133.4,4.41,Shodanondopur,SDNP
139.9,6.5,Jamtoil,JOI
147.06,7.16,Sholop,SOV
152.32,5.26,Ullapara,ULP
160.4,8.08,Lahiri Mohonpur,LMR
166.03,5.63,Dilpashar,DIS
171.16,5.13,Shorotnogor,SNG
173.66,2.5,Boral Bridge,BRBE
175.4,1.74,Bhangura,BOO
179.66,4.26,Guakhora,GAK
184.89,5.23,Chatmohor,CMO
190.55,5.66,Gofurabad,GFB
197.96,7.41,Muladuli,MODI
203.66,5.7,Majhgram,MZRA
206.08,2.42,Ishordi bipash,ISDB
212.83,6.75,Ajimnogor,AZGR
219.76,6.93,Abdulpur,AUP
224.99,5.23,Lokmanpur,LMX
230.37,5.38,Arani,ARZ
238.69,8.32,Nondongachhi,NDGC
244.33,5.64,Shordoho Road,SDRD
248.51,4.18,Belpukur,BPI
252.88,4.37,Horian,HRY
257.2,4.32,Raj. Univ,RJHT
260.4,3.2,Rajshahi,RJHI
