dist_from_origin,dist_inbetween,stn_name, stn_code
0,0,Dhaka,DA
6.44,6.44,Tejgao,TJN
10.86,4.42,Bonani,BNNI
13.27,2.41,Dhaka Cantonment,DACT
18.28,5.01,Dhaka Biman Bondor,DABB
24.93,6.65,Tongi ,TGI
33.99,9.06,Pubail,PBY
37.61,3.62,Nolchata,NCHT
41.63,4.02,Arikhola,AKH
48.88,7.25,Ghorashal Flag,GHF
50.09,1.21,Ghorashal,GHP
54.52,4.43,Jinardi,JYD
58.88,4.36,Norshingdi,NRC
64.11,5.23,Amirgonj,AMRG
67.33,3.22,Khanabari,KQC
71.76,4.43,Hatubhanga,HTGA
75.38,3.62,Methikanda,MEY
79.4,4.02,Shrinidhi,SRNI
84.64,5.24,Doulotkandi,DLY
88.66,4.02,Bhoirob bazar jn,BCI
91.86,3.2,Ashugonj,ASZ
96.31,4.45,Talshohor,TSHR
105.57,9.26,Bramonbaria,BHRA
112.41,6.84,Pagachong,PGH
116.43,4.02,Bhatshala,BHAT
122.78,6.35,Ajompur,AZPR
124.39,1.61,Shingharbil,SNJ
126,1.61,Merashani,MRSI
132.03,6.03,Mukundopur,MCR
139.72,7.69,Horshopur,HPX
144.14,4.42,Kashimnogor,QSN
146.55,2.41,Montola,MNT
150.17,3.62,Shahpur,SAPR
153.79,3.62,Teliapara,TLB
156.2,2.41,Itakhola,IKA
159.42,3.22,Noapara,NOP
161.43,2.01,Chhatian,CHX
167.87,6.44,Shahaji Bazar,SHB
172.29,4.42,Shutang,SQG
177.12,4.83,Shaestagonj,SSJ
180.81,3.69,Loskorpur,LSP
186.04,5.23,Satiajuri,SJX
188.85,2.81,Roshidpur,RSU
199.71,10.86,Shatgao,STO
207.35,7.64,Shrimongol,SRG
219.42,12.07,Bhanugachh,BNX
226.66,7.24,Shomser Nogor,SJR
233.1,6.44,Monu,MFU
235.51,2.41,Tilagao,TIN
239.93,4.42,Longla,LNG
247.98,8.05,Kulaura,KRF
253.31,5.33,Chhokapon,CKPN
258.54,5.23,Bormochal,BCV
263.37,4.83,Bhatera Bazar,BTPK
271.01,7.64,Maijgao,MIZ
272.21,1.2,Fenchugonj,FGG
284.76,12.55,Moglabazar,MBJ
296.43,11.67,Sylet,SYT
